date,visitor_count,visitor_count_prev,visitor_growth_rate,tourism_spending,tourism_spending_prev,spending_growth_rate,source_group
2025-01-01,24946.0,22794.0,9.4,12871.0,12429.0,3.6,20260528234642
2025-02-01,21276.0,24052.0,-11.5,11298.0,12345.0,-8.5,20260528234642
2025-03-01,26725.0,26931.0,-0.8,13264.0,13931.0,-4.8,20260528234642
2025-04-01,22457.0,22584.0,-0.6,12623.0,13436.0,-6.0,20260528234642
2025-05-01,29453.0,24949.0,18.0,14325.0,14499.0,-1.2,20260528234642
2025-06-01,24835.0,23462.0,5.8,12789.0,13789.0,-7.2,20260528234642
2025-07-01,26559.0,24156.0,9.9,13472.0,13345.0,1.0,20260528234642
2025-08-01,27692.0,25961.0,6.7,13923.0,14183.0,-1.8,20260528234642
2025-09-01,25369.0,26161.0,-3.0,12833.0,13583.0,-5.5,20260528234642
2025-10-01,29732.0,25203.0,18.0,14622.0,14016.0,4.3,20260528234642
2025-11-01,25650.0,23280.0,10.2,14197.0,13439.0,5.6,20260528234642
2025-12-01,24888.0,23154.0,7.5,14479.0,13891.0,4.2,20260528234642
