기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202401,22794.0,23822.0,-4.3,12429.0,12756.0,-2.6
202402,24052.0,21561.0,11.6,12345.0,11885.0,3.9
202403,26931.0,26148.0,3.0,13931.0,13288.0,4.8
202404,22584.0,22684.0,-0.4,13436.0,13318.0,0.9
202405,24949.0,24824.0,0.5,14499.0,13962.0,3.8
202406,23462.0,23275.0,0.8,13789.0,13146.0,4.9
202407,24156.0,24847.0,-2.8,13345.0,13573.0,-1.7
202408,25961.0,25609.0,1.4,14183.0,13798.0,2.8
202409,26161.0,26468.0,-1.2,13583.0,14152.0,-4.0
202410,25203.0,25950.0,-2.9,14016.0,14166.0,-1.0
202411,23280.0,22690.0,2.6,13439.0,13075.0,2.8
202412,23154.0,23626.0,-2.0,13891.0,14058.0,-1.2
