region,year,tourism_recovery_index,visitor_count,tourism_spending,destination_search,avg_stay_time,avg_lodging_days,tourism_consumption_share,spending_per_visitor,cluster
경기도,2025,0.8103452077555005,660044175.0,37294288701.0,149636932.0,1140.354838709677,2.915483870967742,0.2436179493304437,56.50271620229055,1
서울특별시,2025,0.7342106394068115,633285856.0,44544491947.0,71746760.0,877.84,2.9348,0.2909785428299006,70.33868122107562,1
인천광역시,2025,0.2282270480079189,185482860.0,8452313172.0,35885184.0,1116.6,2.8040000000000003,0.0552131512299395,45.56924112556816,0
제주특별자치도,2025,0.2179243274405968,59269886.0,2656137907.0,13227183.0,2168.5,3.105,0.0173507229278472,44.81429080190908,0
부산광역시,2025,0.20787227589247,161883449.0,9434538492.0,26624086.0,850.625,2.859375,0.0616293539937805,58.27982137939253,0
경상북도,2025,0.1978066580084717,187787058.0,5454552247.0,22898763.0,1479.3636363636365,2.727272727272727,0.035630839981519,29.04647585990724,0
충청남도,2025,0.1933690893264091,175403844.0,5486583699.0,25244070.0,1409.9333333333334,2.7373333333333334,0.035840079436731,31.279723259656727,0
경상남도,2025,0.1777519671353169,166687846.0,5648752031.0,24774686.0,1286.8333333333333,2.710555555555556,0.0368994136636127,33.8882058083587,0
강원특별자치도,2025,0.1732387799315097,151235214.0,4954400837.0,35310587.0,1468.2777777777778,2.6277777777777778,0.0323636946597297,32.759571702659144,0
세종특별자치시,2025,0.1641477486241621,30128382.0,469889587.0,3210747.0,2202.0,3.03,0.003069465636265,15.596243668179724,0
전라남도,2025,0.1468115829281366,132694562.0,3597760801.0,16412478.0,1369.2272727272727,2.735,0.0235016979556328,27.11309903566357,0
대구광역시,2025,0.1459276798848172,112428992.0,5923932214.0,14742815.0,905.5555555555557,2.842222222222222,0.0386969766206732,52.69043249983065,0
충청북도,2025,0.1413755315889795,122791739.0,5507617733.0,16634428.0,1227.090909090909,2.705454545454545,0.0359774803205583,44.85332464425803,0
광주광역시,2025,0.1385038314703026,70979688.0,3123045762.0,7685533.0,1143.4,2.978,0.0204007109588115,43.99914750259257,0
대전광역시,2025,0.1247302540861805,90947902.0,4758753663.0,11691653.0,1008.2,2.816,0.0310856661738051,52.3239520467443,0
울산광역시,2025,0.1247283952964092,52682231.0,2360075545.0,7272029.0,1164.6,2.974,0.0154167510512786,44.79832194274385,0
전북특별자치도,2025,0.1057336800594738,102129580.0,3418009033.0,14106606.0,1179.5,2.672857142857143,0.0223275032294707,33.46737578867944,0
