region,tourism_spending,tourism_consumption_share
서울특별시,44544491947.0,0.2909785428299006
경기도,37294288701.0,0.2436179493304437
부산광역시,9434538492.0,0.0616293539937805
인천광역시,8452313172.0,0.0552131512299395
대구광역시,5923932214.0,0.0386969766206732
경상남도,5648752031.0,0.0368994136636127
충청북도,5507617733.0,0.0359774803205583
충청남도,5486583699.0,0.035840079436731
경상북도,5454552247.0,0.035630839981519
강원특별자치도,4954400837.0,0.0323636946597297
대전광역시,4758753663.0,0.0310856661738051
전라남도,3597760801.0,0.0235016979556328
전북특별자치도,3418009033.0,0.0223275032294707
광주광역시,3123045762.0,0.0204007109588115
제주특별자치도,2656137907.0,0.0173507229278472
울산광역시,2360075545.0,0.0154167510512786
세종특별자치시,469889587.0,0.003069465636265
